2016年05月28日 8:02,桃園市大溪區台7乙線8.8公里處(附近),死亡0,受傷2,大型重型1-機車,大型重型1-機車,大型重型1-機車,,,
2016年06月04日 8:19,桃園市大溪區台7乙線9K(附近),死亡0,受傷1,大型重型1-機車,,,,,
2016年06月16日 9:29,桃園市大溪區台7乙線13.1K處(附近),死亡0,受傷1,大型重型1-機車,,,,,
2016年06月24日 23:50,桃園市大溪區台7乙線9公里處(附近),死亡0,受傷1,普通重型-機車,,,,,
2016年06月25日 9:10,新北市三峽區臺7乙線道路前0公尺數臺7乙線4.2K處東向一般車道(未劃分車道,死亡0,受傷2,自用-小客車,大型重型1-機車,其他人-人,,,
2016年07月12日 13:30,桃園市大溪區台7乙線10.6K處北向路旁護欄車道,死亡0,受傷1,普通重型-機車,,,,,
2016年07月18日 1:00,新北市三峽區臺7乙線道路1.1K前,死亡0,受傷5,自用-小客車,自用-小客車,自用-小客車,自用-小客車,自用-小客車,
2016年07月20日 18:44,桃園市大溪區台7乙線12K(附近),死亡0,受傷1,普通重型-機車,,,,,
2016年07月21日 0:46,桃園市大溪區台7乙10.5K(附近),死亡0,受傷1,普通重型-機車,,,,,
2016年08月15日 6:20,桃園市大溪區台7乙線12.2公里處(附近),死亡0,受傷1,自用-小貨車,普通重型-機車,,,,
2016年09月06日 7:40,桃園市大溪區台7乙線10.7公里處(附近),死亡0,受傷1,普通重型-機車,,,,,
2016年09月11日 12:15,桃園市大溪區台7乙線11.7公里處(附近),死亡0,受傷1,普通重型-機車,,,,,
2016年10月17日 16:20,桃園市大溪區台7乙線9.7公里處(附近),死亡0,受傷1,大型重型1-機車,,,,,
2016年11月04日 15:10,桃園市大溪區台7乙線8.6公里處(附近),死亡0,受傷1,普通重型-機車,,,,,
2016年11月11日 13:57,桃園市大溪區台7乙線9K(附近),死亡0,受傷1,大型重型1-機車,,,,,
2016年12月16日 16:20,桃園市大溪區台7乙線9.6K處南向爬坡車道,死亡0,受傷1,普通重型-機車,,,,,
2016年12月24日 13:45,桃園市大溪區台7乙線9.7公里(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年01月04日 13:35,新北市三峽區五寮里臺7乙線道路7.9K,死亡0,受傷1,普通重型-機車,自用-小貨車,,,,
2015年01月06日 13:00,桃園市大溪區台7乙線8.6公里處(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年1月6日 13:05,桃園市大溪區台7乙線9公里處(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年01月22日 16:30,新北市三峽區臺7乙線道路1.2K往大溪,死亡0,受傷1,普通重型-機車,,,,,
2015年2月14日 15:17,桃園市大溪區台7乙線10.6公里處(附近)台7乙線10公里600公尺處南向外側車道,死亡0,受傷1,大型重型1-機車,自用-小客車,,,,
2015年2月15日 14:58,新北市三峽區臺7乙線道路4.2k處,死亡0,受傷1,普通重型-機車,自用-小客車,,,,
2015年2月28日 16:00,桃園市大溪區台七乙線10.6公里處(附近)台7乙線10公里600公尺處北向外側車道,死亡0,受傷2,普通重型-機車,普通重型-機車,,,,
2015年02月28日 16:53,桃園市大溪區台7乙線8.6K處北向外側車道,死亡0,受傷1,大型重型1-機車,,,,,
2015年03月14日 14:45,新北市三峽區金圳里臺7乙線道路前3.5k處,死亡0,受傷1,自用-小客車,普通重型-機車,,,,
2015年03月14日 17:02,新北市三峽區金圳里臺7乙線道路前0公尺數圳頭1-3號前,死亡0,受傷1,自用-小客車,普通重型-機車,,,,
2015年03月15日 10:00,桃園市大溪區台7乙13.8K(附近),死亡0,受傷1,自用-小客車,普通重型-機車,,,,
2015年03月29日 9:36,新北市三峽區臺7乙線道路前1.9K,死亡0,受傷4,大型重型1-機車,普通重型-機車,大型重型1-機車,大型重型1-機車,,
2015年04月03日 11:10,桃園市大溪區台7乙線9.1公里(附近)台7乙線9公里100公尺處北向外側車道,死亡0,受傷2,普通重型-機車,普通重型-機車,,,,
2015年04月04日 21:04,新北市三峽區五寮里臺7乙線道路前8.0K,死亡0,受傷3,普通重型-機車,普通重型-機車,普通重型-機車,普通重型-機車,,
2015年04月06日 9:46,新北市三峽區臺7乙線道路前1.2K,死亡0,受傷1,腳踏自行車-慢車,,,,,
2015年04月14日 11:05,桃園市大溪區台7乙線12公里處(附近),死亡0,受傷2,普通重型-機車,普通重型-機車,,,,
2015年04月15日 16:30,桃園市大溪區台7乙線8.9公里處(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年04月19日 15:18,桃園市大溪區台7乙線10.2K處北向內側車道,死亡0,受傷2,自用-小客車,大型重型2-機車,大型重型2-機車,,,
2015年05月02日 12:00,桃園市大溪區台7乙線10.1K(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年05月11日 2:40,新北市三峽區前0公尺數台7乙線1K處,死亡0,受傷1,普通重型-機車,,,,,
2015年05月11日 18:35,桃園市大溪區台7乙線10.8公里處(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年05月15日 16:20,新北市三峽區五寮里臺7乙線道路7.7K處,死亡0,受傷1,自用-大貨車,大型重型1-機車,,,,
2015年05月16日 8:49,新北市三峽區五寮里臺7乙線道路前7.9K,死亡0,受傷2,普通重型-機車,大型重型1-機車,,,,
2015年05月30日 15:55,新北市三峽區五寮里6鄰臺7乙線道路前7.7K數前7.7公尺五寮市民活動中心前(五寮派出所旁),死亡0,受傷1,普通重型-機車,普通重型-機車,,,,
2015年06月03日 21:52,新北市三峽區五寮里1鄰臺7乙線道路前5.0K,死亡0,受傷1,普通重型-機車,,,,,
2015年06月09日 19:11,新北市三峽區臺7乙線道路前0公尺數台7乙3.4K處西向一般車道(未劃分車道圳頭51號前,死亡0,受傷1,自用-大貨車,普通重型-機車,,,,
2015年06月14日 14:20,桃園市大溪區台7乙線11.2K(附近),死亡0,受傷1,自用-小客車,,,,,
2015年07月05日 14:10,桃園市大溪區台7乙線9.1K處(附近),死亡0,受傷1,普通重型-機車,自用-小客車,,,,
2015年07月11日 12:40,桃園市大溪區台7乙線10K(附近),死亡0,受傷1,普通重型-機車,自用-小客車,,,,
2015年07月17日 11:15,新北市三峽區臺7乙線道路前1.1K,死亡0,受傷1,普通重型-機車,,,,,
2015年07月21日 19:08,桃園市大溪區台7乙線11.3K北向中線車道,死亡0,受傷1,普通重型-機車,自用-小貨車,,,,
2015年07月23日 9:30,桃園市大溪區台7乙線11.8公里處(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年07月26日 12:38,桃園市大溪區台7乙線9.6K處南向中線車道,死亡0,受傷1,普通重型-機車,自用-小客車,,,,
2015年07月31日 16:52,桃園市大溪區台7乙線9K(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年08月06日 16:40,桃園市大溪區台7乙線12K(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年08月08日 15:42,新北市三峽區臺7乙線道路前1.4K,死亡0,受傷1,普通重型-機車,,,,,
2015年09月02日 10:45,桃園市大溪區台7乙線11.7公里處(附近),死亡0,受傷2,大型重型1-機車,腳踏自行車-慢車,腳踏自行車-慢車,,,
2015年09月06日 13:05,桃園市大溪區台7乙線10.1K處南向中內車道,死亡0,受傷2,普通重型-機車,自用-小客車,普通重型-機車,,,
2015年09月09日 10:50,新北市三峽區五寮里臺7乙線道路前8.1K,死亡0,受傷1,普通重型-機車,自用-小貨車,,,,
2015年09月16日 15:30,桃園市大溪區台7乙線11.8K處北向中外車道,死亡0,受傷1,普通重型-機車,,,,,
2015年09月19日 16:55,桃園市大溪區台7乙線9K(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年09月24日 3:56,桃園市大溪區台7乙線11.9K處北向外側車道,死亡0,受傷1,普通重型-機車,普通重型-機車,,,,
2015年09月26日 12:30,桃園市大溪區台7乙線10.5K處北向外側車道,死亡0,受傷1,普通重型-機車,,,,,
2015年09月27日 10:30,新北市三峽區五寮里台7乙線之6.1K處號,死亡0,受傷1,普通重型-機車,,,,,
2015年10月12日 12:10,桃園市大溪區台7乙線9.6公里處(附近),死亡0,受傷1,自用-小客車,,,,,
2015年10月20日 13:17,桃園市大溪區台7乙線8.7K(附近),死亡0,受傷2,普通重型-機車,普通重型-機車,自用-小客車,,,
2015年10月25日 2:12,桃園市大溪區台7乙線11.3K處北向外側車道,死亡0,受傷1,自用-小客車,,,,,
2015年10月27日 18:20,桃園市大溪區台7乙10.6K處(附近),死亡0,受傷1,普通重型-機車,,,,,
2015年11月10日 9:02,桃園市大溪區台7乙線11.3K(附近),死亡0,受傷1,自用-小客車,普通重型-機車,,,,
2015年11月15日 16:11,新北市三峽區臺7乙線道路前3.8K,死亡0,受傷3,大型重型1-機車,大型重型1-機車,大型重型1-機車,,,
2015年11月22日 12:30,桃園市大溪區台7乙線9.6公里處(附近),死亡0,受傷1,普通重型-機車,自用-小貨車,,,,
