004K+400,台7乙線,121.380695,24.876462,288465.87,2752148.144,一工處,中和工務段,2015/7/3,新北市,三峽區,金圳里
004K+500,台7乙線,121.380283,24.875679,288424.482,2752061.301,一工處,中和工務段,2015/7/3,新北市,三峽區,金圳里
004K+600,台7乙線,121.379399,24.875319,288335.272,2752021.178,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
004K+700,台7乙線,121.379015,24.874511,288296.72,2751931.575,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
004K+800,台7乙線,121.37874,24.873657,288269.196,2751836.907,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
004K+900,台7乙線,121.378089,24.872979,288203.625,2751761.628,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
005K+000,台7乙線,121.377466,24.872298,288140.883,2751686.025,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
005K+100,台7乙線,121.376516,24.872046,288044.967,2751657.848,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
005K+200,台7乙線,121.375818,24.871434,287974.624,2751589.867,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
005K+300,台7乙線,121.375306,24.870676,287923.119,2751505.767,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
005K+400,台7乙線,121.374474,24.87019,287839.196,2751451.706,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
005K+500,台7乙線,121.373523,24.870024,287743.151,2751433.055,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
005K+600,台7乙線,121.37285,24.869376,287675.343,2751361.096,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
005K+700,台7乙線,121.372583,24.868507,287648.626,2751264.77,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
005K+800,台7乙線,121.372193,24.867702,287609.461,2751175.5,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
005K+900,台7乙線,121.371359,24.867217,287525.332,2751121.55,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
006K+000,台7乙線,121.37059,24.866653,287447.795,2751058.869,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
006K+100,台7乙線,121.369837,24.866113,287371.866,2750998.852,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
006K+200,台7乙線,121.368942,24.865797,287281.521,2750963.606,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
006K+300,台7乙線,121.36846,24.865018,287233.048,2750877.191,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
006K+400,台7乙線,121.367546,24.864707,287140.78,2750842.495,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
006K+500,台7乙線,121.366569,24.864606,287042.083,2750831.042,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
006K+600,台7乙線,121.365936,24.863925,286978.319,2750755.442,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
006K+700,台7乙線,121.365579,24.863088,286942.493,2750662.638,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
006K+800,台7乙線,121.364871,24.862518,286871.116,2750599.312,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
006K+900,台7乙線,121.364176,24.861909,286801.064,2750531.67,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
007K+000,台7乙線,121.363511,24.861272,286734.052,2750460.936,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
007K+100,台7乙線,121.362629,24.860885,286645.036,2750417.834,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
007K+200,台7乙線,121.361659,24.860786,286547.042,2750406.608,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
007K+300,台7乙線,121.360886,24.860252,286469.083,2750347.255,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
007K+400,台7乙線,121.360191,24.85961,286399.038,2750275.96,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
007K+500,台7乙線,121.359616,24.858882,286341.144,2750195.173,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
007K+600,台7乙線,121.359481,24.858003,286327.758,2750097.778,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
007K+700,台7乙線,121.359256,24.857136,286305.273,2750001.688,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
007K+800,台7乙線,121.359159,24.856266,286295.724,2749905.3,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
007K+900,台7乙線,121.358817,24.855449,286261.401,2749814.717,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
008K+000,台7乙線,121.357836,24.855409,286162.273,2749810.026,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
008K+100,台7乙線,121.357196,24.854853,286097.757,2749748.273,一工處,中和工務段,2015/7/3,新北市,三峽區,五寮里
008K+200,台7乙線,121.357024,24.853972,286080.63,2749650.647,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
008K+300,台7乙線,121.356115,24.853741,285988.833,2749624.821,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
008K+400,台7乙線,121.355141,24.853719,285890.407,2749622.128,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
008K+500,台7乙線,121.354201,24.853442,285795.49,2749591.2,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
008K+600,台7乙線,121.35384,24.852702,285759.219,2749509.142,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
008K+700,台7乙線,121.353124,24.852301,285686.975,2749464.539,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
008K+800,台7乙線,121.35224,24.851911,285597.748,2749421.111,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
008K+900,台7乙線,121.351474,24.85136,285520.492,2749359.882,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
